2021-11-07 06:25:54.181598: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.10
Episode: 0, Reward: -318.266, Avg Reward :-318.266, Epsilon:0.9950
Episode: 1, Reward: -95.831, Avg Reward :-207.049, Epsilon:0.9900
Episode: 2, Reward: -187.150, Avg Reward :-200.416, Epsilon:0.9851
Episode: 3, Reward: -49.703, Avg Reward :-162.738, Epsilon:0.9801
Episode: 4, Reward: -81.981, Avg Reward :-146.586, Epsilon:0.9752
Episode: 5, Reward: -131.436, Avg Reward :-144.061, Epsilon:0.9704
Episode: 6, Reward: -193.688, Avg Reward :-151.151, Epsilon:0.9655
Episode: 7, Reward: -118.641, Avg Reward :-147.087, Epsilon:0.9607
Episode: 8, Reward: -346.579, Avg Reward :-169.253, Epsilon:0.9559
Episode: 9, Reward: -129.865, Avg Reward :-165.314, Epsilon:0.9511
Episode: 10, Reward: -296.143, Avg Reward :-177.208, Epsilon:0.9464
Episode: 11, Reward: -116.901, Avg Reward :-172.182, Epsilon:0.9416
Episode: 12, Reward: -61.128, Avg Reward :-163.639, Epsilon:0.9369
Episode: 13, Reward: -169.367, Avg Reward :-164.049, Epsilon:0.9322
Episode: 14, Reward: -184.903, Avg Reward :-165.439, Epsilon:0.9276
Episode: 15, Reward: -161.522, Avg Reward :-165.194, Epsilon:0.9229
Episode: 16, Reward: -54.054, Avg Reward :-158.656, Epsilon:0.9183
Episode: 17, Reward: -95.560, Avg Reward :-155.151, Epsilon:0.9137
Episode: 18, Reward: -130.380, Avg Reward :-153.847, Epsilon:0.9092
Episode: 19, Reward: -92.010, Avg Reward :-150.755, Epsilon:0.9046
Episode: 20, Reward: -123.345, Avg Reward :-149.450, Epsilon:0.9001
Episode: 21, Reward: -182.408, Avg Reward :-150.948, Epsilon:0.8956
Episode: 22, Reward: -86.583, Avg Reward :-148.150, Epsilon:0.8911
Episode: 23, Reward: -237.056, Avg Reward :-151.854, Epsilon:0.8867
Episode: 24, Reward: -144.331, Avg Reward :-151.553, Epsilon:0.8822
Episode: 25, Reward: -168.097, Avg Reward :-152.190, Epsilon:0.8778
Episode: 26, Reward: -108.230, Avg Reward :-150.561, Epsilon:0.8734
Episode: 27, Reward: -121.977, Avg Reward :-149.540, Epsilon:0.8691
Episode: 28, Reward: -160.785, Avg Reward :-149.928, Epsilon:0.8647
Episode: 29, Reward: -369.712, Avg Reward :-157.254, Epsilon:0.8604
Episode: 30, Reward: -88.084, Avg Reward :-155.023, Epsilon:0.8561
Episode: 31, Reward: -112.393, Avg Reward :-153.691, Epsilon:0.8518
Episode: 32, Reward: 3.675, Avg Reward :-148.922, Epsilon:0.8475
Episode: 33, Reward: 20.701, Avg Reward :-143.933, Epsilon:0.8433
Episode: 34, Reward: -81.511, Avg Reward :-142.150, Epsilon:0.8391
Episode: 35, Reward: -108.722, Avg Reward :-141.221, Epsilon:0.8349
Episode: 36, Reward: -97.384, Avg Reward :-140.036, Epsilon:0.8307
Episode: 37, Reward: -75.272, Avg Reward :-138.332, Epsilon:0.8266
Episode: 38, Reward: -86.972, Avg Reward :-137.015, Epsilon:0.8224
Episode: 39, Reward: -244.272, Avg Reward :-139.697, Epsilon:0.8183
Episode: 40, Reward: -129.872, Avg Reward :-139.457, Epsilon:0.8142
Episode: 41, Reward: -97.791, Avg Reward :-138.465, Epsilon:0.8102
Episode: 42, Reward: -119.170, Avg Reward :-138.016, Epsilon:0.8061
Episode: 43, Reward: -126.460, Avg Reward :-137.754, Epsilon:0.8021
Episode: 44, Reward: -163.486, Avg Reward :-138.325, Epsilon:0.7981
Episode: 45, Reward: -194.952, Avg Reward :-139.556, Epsilon:0.7941
Episode: 46, Reward: 7.112, Avg Reward :-136.436, Epsilon:0.7901
Episode: 47, Reward: -98.527, Avg Reward :-135.646, Epsilon:0.7862
Episode: 48, Reward: -78.833, Avg Reward :-134.487, Epsilon:0.7822
Episode: 49, Reward: -221.600, Avg Reward :-136.229, Epsilon:0.7783
Episode: 50, Reward: -82.421, Avg Reward :-135.174, Epsilon:0.7744
Episode: 51, Reward: -97.785, Avg Reward :-134.455, Epsilon:0.7705
Episode: 52, Reward: -115.629, Avg Reward :-134.100, Epsilon:0.7667
Episode: 53, Reward: -67.454, Avg Reward :-132.865, Epsilon:0.7629
Episode: 54, Reward: -114.692, Avg Reward :-132.535, Epsilon:0.7590
Episode: 55, Reward: -83.974, Avg Reward :-131.668, Epsilon:0.7553
Episode: 56, Reward: -148.904, Avg Reward :-131.970, Epsilon:0.7515
Episode: 57, Reward: -239.667, Avg Reward :-133.827, Epsilon:0.7477
Episode: 58, Reward: -120.308, Avg Reward :-133.598, Epsilon:0.7440
Episode: 59, Reward: -129.866, Avg Reward :-133.536, Epsilon:0.7403
Episode: 60, Reward: -106.317, Avg Reward :-133.090, Epsilon:0.7366
Episode: 61, Reward: -101.009, Avg Reward :-132.572, Epsilon:0.7329
Episode: 62, Reward: -156.178, Avg Reward :-132.947, Epsilon:0.7292
Episode: 63, Reward: -156.534, Avg Reward :-133.315, Epsilon:0.7256
Episode: 64, Reward: -259.986, Avg Reward :-135.264, Epsilon:0.7219
Episode: 65, Reward: -193.375, Avg Reward :-136.145, Epsilon:0.7183
